"","Treatment","Concentration_uM","plate","Rep1_tot","Rep2_tot","Rep3_tot","OR","Rep1","Rep2","Rep3","rep1_freq","rep2_freq","rep3_freq","freq_ave","freq_sd","DMSO_ave","DMSO_sd","DMSO_Normed","overall_sd","Odorant","CAS"
"134","DMSO",-999,"2-12",158871,155880,68225,"18_1",705,1046,851,0.00443756255074872,0.00671028996664101,0.0124734334921217,0.00787376200317046,0.00414234907165487,0.00787376200317046,0.00414234907165487,1,0.744011088328433,"DMSO",NA
"135","DMSO",-999,"2-13",85453,113405,52133,"18_1",438,490,793,0.00512562461236001,0.00432079714298311,0.015211094700094,0.00821917215181237,0.00606853956934802,0.00821917215181237,0.00606853956934802,1,1.04416975386959,"DMSO",NA
"136","DMSO",-999,"2-2",100215,92258,87458,"18_1",1206,808,1001,0.0120341266277503,0.00875804808255111,0.0114454938370418,0.0107458895157811,0.00174649858669386,0.0107458895157811,0.00174649858669386,1,0.229848072078226,"DMSO",NA
"137","DMSO",-999,"2-3",129226,72921,35994,"18_1",1468,782,210,0.0113599430455172,0.0107239341204866,0.0058343057176196,0.00930606096120777,0.00302339878145707,0.00930606096120777,0.00302339878145707,1,0.459456646482569,"DMSO",NA
"138","DMSO",-999,"2-4",143029,56247,162,"18_1",1229,351,0,0.00859266302637927,0.00624033281775028,0,0.00494433194804318,0.00444051552884769,0.00494433194804318,0.00444051552884769,1,1.27010834847165,"DMSO",NA
"139","DMSO",-999,"2-5",150886,123561,85528,"18_1",1707,1721,1042,0.0113131768354917,0.0139283430856014,0.0121831447011505,0.0124748882074145,0.00133176924953751,0.0124748882074145,0.00133176924953751,1,0.150975792594916,"DMSO",NA
"140","DMSO",-999,"2-6",83055,54989,22321,"18_1",419,872,706,0.00504484979832641,0.015857716997945,0.0316294072846199,0.0175106580269638,0.013369137396241,0.0175106580269638,0.013369137396241,1,1.07973186352447,"DMSO",NA
"141","DMSO",-999,"2-7",89241,70822,42522,"18_1",1202,724,315,0.0134691453479903,0.0102228121205275,0.00740793001269931,0.0103666291604057,0.00303316589406367,0.0103666291604057,0.00303316589406367,1,0.413783909691286,"DMSO",NA
"142","DMSO",-999,"2-8",226016,162135,128218,"18_1",1429,10041,1863,0.00632256123460286,0.06192987325377,0.0145299411939041,0.0275941252274257,0.0300174610159744,0.0275941252274257,0.0300174610159744,1,1.53841080762382,"DMSO",NA
"143","DMSO",-999,"2-9",241969,122267,35390,"18_1",1400,1930,503,0.00578586513148379,0.0157851259947492,0.0142130545351794,0.0119280152204708,0.00537702129019691,0.0119280152204708,0.00537702129019691,1,0.637512301352111,"DMSO",NA
"144","DMSO",-999,"2-1",142476,101748,90028,"4_1",5615,2595,3265,0.039410146270249,0.0255041868144828,0.0362664948682632,0.0337269426509984,0.00729252502186412,0.0337269426509984,0.00729252502186412,1,0.305784840819543,"DMSO",NA
"145","DMSO",-999,"2-10",202659,124499,119889,"4_1",3522,3240,3694,0.0173789469009518,0.0260243054161078,0.0308118342800424,0.024738362199034,0.00680814609882793,0.024738362199034,0.00680814609882793,1,0.389200080026151,"DMSO",NA
"146","DMSO",-999,"2-11",156373,101679,93324,"4_1",3069,1263,1447,0.0196261502944882,0.0124214439559791,0.0155051219407655,0.0158509053970776,0.00361477841714157,0.0158509053970776,0.00361477841714157,1,0.322509568660833,"DMSO",NA
"147","DMSO",-999,"2-12",158871,155880,68225,"4_1",2795,3256,1843,0.0175928898288549,0.0208878624583013,0.0270135580798827,0.0218314367890129,0.00478069000900128,0.0218314367890129,0.00478069000900128,1,0.309687205362211,"DMSO",NA
"148","DMSO",-999,"2-13",85453,113405,52133,"4_1",1076,2901,883,0.0125917170842451,0.0255808826771306,0.0169374484491589,0.0183700160701782,0.00661201884385131,0.0183700160701782,0.00661201884385131,1,0.509025505906935,"DMSO",NA
"149","DMSO",-999,"2-2",100215,92258,87458,"4_1",5112,1175,1699,0.0510103277952402,0.0127360228923237,0.0194264675615724,0.0277242727497121,0.0204418879303159,0.0277242727497121,0.0204418879303159,1,1.04273953053877,"DMSO",NA
"150","DMSO",-999,"2-3",129226,72921,35994,"4_1",2728,2689,1141,0.0211103028802253,0.0368755228260721,0.0316997277323998,0.0298951844795657,0.00803603274313529,0.0298951844795657,0.00803603274313529,1,0.380150405185969,"DMSO",NA
"151","DMSO",-999,"2-4",143029,56247,162,"4_1",3024,677,4,0.0211425654937111,0.0120361974860881,0.0246913580246914,0.0192900403348302,0.0065277989523782,0.0192900403348302,0.0065277989523782,1,0.478573484070395,"DMSO",NA
"152","DMSO",-999,"2-5",150886,123561,85528,"4_1",2494,3951,1515,0.0165290351656217,0.0319761089664214,0.0177134973342063,0.0220728804887498,0.0085968708474611,0.0220728804887498,0.0085968708474611,1,0.550803115734985,"DMSO",NA
"153","DMSO",-999,"2-6",83055,54989,22321,"4_1",1215,1161,723,0.014628860393715,0.0211133135718053,0.0323910219076206,0.022711065291047,0.00898822581652087,0.022711065291047,0.00898822581652087,1,0.559695051222752,"DMSO",NA
"154","DMSO",-999,"2-7",89241,70822,42522,"4_1",1837,1792,749,0.0205847088221781,0.02530287198893,0.0176144113635295,0.0211673307248792,0.00387720168526398,0.0211673307248792,0.00387720168526398,1,0.259040276670852,"DMSO",NA
"155","DMSO",-999,"2-8",226016,162135,128218,"4_1",4165,2561,2828,0.0184278989098117,0.0157954790760786,0.0220561855589699,0.0187598545149534,0.00314352625391741,0.0187598545149534,0.00314352625391741,1,0.23697505001557,"DMSO",NA
"156","DMSO",-999,"2-9",241969,122267,35390,"4_1",3776,2932,644,0.0156053048117734,0.0239803053972045,0.0181972308561741,0.0192609470217173,0.0042876307865908,0.0192609470217173,0.0042876307865908,1,0.314814510522676,"DMSO",NA
"157","DMSO",-999,"2-1",142476,101748,90028,"20_1",10873,5628,4904,0.0763146073724698,0.055313126547942,0.0544719420624695,0.0620332253276271,0.0123751889952322,0.0620332253276271,0.0123751889952322,1,0.282125587079435,"DMSO",NA
"158","DMSO",-999,"2-10",202659,124499,119889,"20_1",13688,5968,8572,0.0675420287280604,0.0479361280010281,0.071499470343401,0.0623258756908298,0.0126180016233484,0.0623258756908298,0.0126180016233484,1,0.286310442139693,"DMSO",NA
"159","DMSO",-999,"2-11",156373,101679,93324,"20_1",5724,3873,3956,0.0366047847134736,0.0380904611571711,0.0423899532810424,0.039028399717229,0.00300447006901871,0.039028399717229,0.00300447006901871,1,0.108868473986511,"DMSO",NA
"160","DMSO",-999,"2-12",158871,155880,68225,"20_1",6307,8164,4206,0.0396988751880457,0.0523736207338979,0.0616489556614144,0.0512404838611193,0.0110188251450043,0.0512404838611193,0.0110188251450043,1,0.304114457695567,"DMSO",NA
"161","DMSO",-999,"2-13",85453,113405,52133,"20_1",3036,4364,2633,0.0355283021075913,0.0384815484326088,0.0505054380143096,0.0415050961848365,0.00793316019941476,0.0415050961848365,0.00793316019941476,1,0.270308559135194,"DMSO",NA
"162","DMSO",-999,"2-2",100215,92258,87458,"20_1",7733,5918,5067,0.0771640971910393,0.0641461987036355,0.0579363808913993,0.0664155589286913,0.00981268390391535,0.0664155589286913,0.00981268390391535,1,0.208945477295416,"DMSO",NA
"163","DMSO",-999,"2-3",129226,72921,35994,"20_1",6050,4937,1518,0.0468172039682417,0.0677034050547853,0.042173695615936,0.0522314348796543,0.0135987844412503,0.0522314348796543,0.0135987844412503,1,0.368199446040791,"DMSO",NA
"164","DMSO",-999,"2-4",143029,56247,162,"20_1",4950,2759,9,0.0346083661355389,0.0490515049691539,0.0555555555555556,0.0464051422200828,0.010721409095789,0.0464051422200828,0.010721409095789,1,0.326738835948514,"DMSO",NA
"165","DMSO",-999,"2-5",150886,123561,85528,"20_1",13453,5523,3977,0.0891600281006853,0.0446985699371161,0.0464993920119727,0.0601193300165913,0.0251660952264142,0.0601193300165913,0.0251660952264142,1,0.591993177092056,"DMSO",NA
"166","DMSO",-999,"2-6",83055,54989,22321,"20_1",3920,3086,1173,0.0471976401179941,0.0561203149720853,0.0525514089870526,0.0519564546923773,0.00449099205048532,0.0519564546923773,0.00449099205048532,1,0.122241248058788,"DMSO",NA
