row,col,plate,Treatment,Concentration_uM,Replicate
G,5,2-6,59,100,Rep2
G,6,2-6,59,1000,Rep2
G,7,2-6,60,10,Rep1
G,8,2-6,60,100,Rep1
G,9,2-6,60,1000,Rep1
G,10,2-6,Control_2,10,Rep2
G,11,2-6,Control_2,100,Rep2
G,12,2-6,Control_2,1000,Rep2
H,1,2-6,59,10,Rep3
H,2,2-6,59,100,Rep3
H,3,2-6,59,1000,Rep3
H,4,2-6,60,10,Rep2
H,5,2-6,60,100,Rep2
H,6,2-6,60,1000,Rep2
H,7,2-6,60,10,Rep3
H,8,2-6,60,100,Rep3
H,9,2-6,60,1000,Rep3
H,10,2-6,DMSO,-999,Rep1
H,11,2-6,DMSO,-999,Rep2
H,12,2-6,DMSO,-999,Rep3
A,1,2-7,61,10,Rep1
A,2,2-7,61,100,Rep1
A,3,2-7,61,1000,Rep1
A,4,2-7,62,10,Rep1
A,5,2-7,62,100,Rep1
A,6,2-7,62,1000,Rep1
A,7,2-7,63,10,Rep1
A,8,2-7,63,100,Rep1
A,9,2-7,63,1000,Rep1
A,10,2-7,64,10,Rep1
A,11,2-7,64,100,Rep1
A,12,2-7,64,1000,Rep1
B,1,2-7,61,10,Rep2
B,2,2-7,61,100,Rep2
B,3,2-7,61,1000,Rep2
B,4,2-7,62,10,Rep2
B,5,2-7,62,100,Rep2
B,6,2-7,62,1000,Rep2
B,7,2-7,63,10,Rep2
B,8,2-7,63,100,Rep2
B,9,2-7,63,1000,Rep2
B,10,2-7,64,10,Rep2
B,11,2-7,64,100,Rep2
B,12,2-7,64,1000,Rep2
C,1,2-7,61,10,Rep3
C,2,2-7,61,100,Rep3
C,3,2-7,61,1000,Rep3
C,4,2-7,62,10,Rep3
C,5,2-7,62,100,Rep3
C,6,2-7,62,1000,Rep3
C,7,2-7,63,10,Rep3
C,8,2-7,63,100,Rep3
C,9,2-7,63,1000,Rep3
C,10,2-7,64,10,Rep3
C,11,2-7,64,100,Rep3
C,12,2-7,64,1000,Rep3
D,1,2-7,65,10,Rep1
D,2,2-7,65,100,Rep1
D,3,2-7,65,1000,Rep1
D,4,2-7,66,10,Rep1
D,5,2-7,66,100,Rep1
D,6,2-7,66,1000,Rep1
D,7,2-7,67,10,Rep1
